time,theta,thetadot,x,xdot
7.257099999999864,0.02508638483008459,0.028182911389804024,0.06790391541847939,-0.45597706822637474
7.258769999999864,0.025135387995771415,0.030503924192756503,0.0671415172719685,-0.45707473699599455
7.260439999999864,0.02518826531472642,0.03282264827958557,0.06637728796563756,-0.45817008449046603
7.262109999999864,0.025245012373930776,0.03513837599205901,0.06561123181308956,-0.45926258725579894
7.263779999999864,0.025305623583084035,0.037450405060439625,0.06484335399910085,-0.4603517254213937
7.265449999999864,0.02537009218373023,0.03975803875602386,0.06407366057353822,-0.4614369828181706
7.2671199999998635,0.025438410258636652,0.042060586041236386,0.06330215844508026,-0.4625178470949593
7.268789999999863,0.025510568741421248,0.04435736171725757,0.06252885537474569,-0.4635938098331297
7.270459999999863,0.02558655742642445,0.046647686569161274,0.06175375996923186,-0.4646643666594457
7.272129999999863,0.025666364978821306,0.04893088750854152,0.0609768816740662,-0.4657290173571239
7.273799999999863,0.025749978944969665,0.05120629771360695,0.06019823076657378,-0.46678726597507947
7.275469999999863,0.0258373857629902,0.05347325676672275,0.05941781834866397,-0.46783862093534256
7.2771399999998625,0.02592857077357398,0.05573111078938187,0.058635656339438985,-0.46888259513862923
7.278809999999862,0.026023518231013266,0.057979212574584334,0.05785175746762816,-0.46991870606805036
7.280479999999862,0.026122211314451197,0.0602169217166092,0.057066135263850265,-0.47094647589094385
7.282149999999862,0.026224632139346015,0.06244360473816083,0.0562788040527074,-0.4719654315588157
7.283819999999862,0.02633076176914542,0.06465863521487308,0.055489778944713644,-0.4729751049053753
7.285489999999862,0.026440580227166607,0.06686139389715587,0.05469907582806151,-0.473975032742652
7.2871599999998615,0.026554066508677577,0.06905126882936898,0.053906711360229544,-0.4749647569551795
7.288829999999861,0.026671198593175204,0.07122765546630894,0.05311270295943427,-0.47594382459223605
7.290499999999861,0.026791953456855578,0.07338995678699546,0.05231706879592969,-0.47691178795812866
7.292169999999861,0.026916307085272144,0.07553758340574473,0.051519827783157585,-0.4778682047005096
7.293839999999861,0.02704423448617697,0.0776699536805165,0.05072099956875233,-0.47881263789671485
7.295509999999861,0.02717570970254077,0.0797864938185258,0.04992060452540269,-0.47974465613811457
7.2971799999998606,0.027310705825746948,0.08188663797910646,0.04911866374157467,-0.48066383361246534
7.29884999999986,0.027449195008955107,0.0839698283738176,0.048315199012098575,-0.4815697501842558
7.30051999999986,0.027591148480629473,0.08603551536378375,0.047510232828623426,-0.4824619914730367
7.30218999999986,0.02773653655822752,0.08808315755426008,0.04670378836994236,-0.483340148929728
7.30385999999986,0.027885328662044205,0.09011222188641514,0.04589588949219224,-0.48420381991089484
7.30552999999986,0.028037493329207165,0.09212218372632393,0.04508656071893096,-0.4850526077509866
7.30719999999986,0.028192998227818164,0.09411252695116513,0.04427582723109578,-0.48588612183253166
7.30885999999986,0.02835084940290376,0.09607092255366076,0.04346858187209736,-0.48669907261463297
7.31051999999986,0.028511934579511126,0.09800894115763846,0.04266000017223614,-0.4874961797420902
7.31217999999986,0.028676219532530002,0.09992610140250434,0.041850108735215955,-0.48827707777595
7.3138399999998605,0.028843669244949525,0.10182193054522674,0.04103893476625643,-0.4890414074352416
7.315499999999861,0.0290142479222214,0.10369596453036195,0.04022650606182251,-0.4897888156551165
7.317159999999861,0.029187919006737065,0.10554774805736131,0.03941285099925911,-0.4905189556429909
7.318819999999861,0.029364645192414322,0.10737683464515858,0.03859799852633429,-0.4912314869326903
7.320479999999861,0.029544388439388915,0.10918278669403693,0.03778197815069414,-0.49192607543659356
7.3221399999998615,0.02972710998880657,0.11096517554477567,0.0369648199292328,-0.4926023934957754
7.323799999999862,0.029912770377710937,0.11272358153507771,0.03614655445738091,-0.4932601199281465
7.325469999999862,0.03010247408233485,0.11446806844849144,0.035322273849627564,-0.49390279762844125
7.327139999999861,0.030295070104527214,0.11618745904296823,0.03449693621567621,-0.49452602736269713
7.328809999999861,0.03049051620016431,0.11788135383845368,0.033670574289838974,-0.4951295021790179
7.330479999999861,0.030688769465860757,0.11954936277463102,0.03284322131334849,-0.4957129219371082
7.332149999999861,0.0308897863547372,0.12119110525508177,0.03201491102294979,-0.49627599334756106
7.333819999999861,0.031093522692259467,0.1228062101886467,0.031185677639428255,-0.49681843000907666
7.335489999999861,0.03129993369214444,0.12439431602799311,0.030355555856077184,-0.4973399524436139
7.3371599999998605,0.031508973972328005,0.12595507080539475,0.029524580827108335,-0.49784028812947956
7.33882999999986,0.03172059757099044,0.12748813216573154,0.028692788156008966,-0.49831917153235805
7.34049999999986,0.03193475796263459,0.12899316739671696,0.027860213883848756,-0.4987763441342869
7.3421799999998605,0.032152712817122085,0.13047872864844165,0.02702190234891229,-0.4992141711140819
7.343859999999861,0.03237313902999478,0.13193528145436065,0.02618287414904873,-0.4996295233584902
7.345539999999861,0.03259598760776325,0.1333625167125001,0.025343167244637376,-0.5000221592769846
7.3472199999998615,0.03282120904602685,0.13476013529300046,0.024502819995809767,-0.5003918445632239
7.348899999999862,0.03304875334624105,0.1361278480551114,0.02366187115019604,-0.5007383522144012
7.350579999999862,0.03327857003251089,0.13746537586137705,0.022820359830640537,-0.5010614625485003
7.352259999999863,0.03351060816840602,0.13877244958902457,0.021978325522890165,-0.5013609632194717
7.353939999999863,0.033744816373792445,0.14004881013857035,0.021135808063259008,-0.5016366492303351
7.355619999999863,0.03398114284167644,0.14129420843965804,0.02029284762627265,-0.5018883229442189
7.357299999999864,0.03421953535505598,0.14250840545414395,0.019449484712295687,-0.5021157940933458
7.3589699999998635,0.03445850442743486,0.1436840960001668,0.018610783317841283,-0.5023176593276462
7.360639999999863,0.03469941077731024,0.14482851443331812,0.01777176507680541,-0.5024952562848114
7.362309999999863,0.034942202009228304,0.14594145549678877,0.016932470654998664,-0.5026484198080665
7.363979999999863,0.03518682539312535,0.14702272371423353,0.01609294098802234,-0.5027769919506921
7.365649999999863,0.03543322788065257,0.1480721333796654,0.015253217269228576,-0.5028808219749535
7.367319999999863,0.0356813561214819,0.14908950854479636,0.014413340937683868,-0.5029597663491164
7.3689899999998625,0.03593115647958856,0.15007468300384352,0.013573353666139173,-0.5030136887425622
7.370659999999862,0.03618257504950616,0.15102750027582065,0.01273329734900973,-0.5030424600190163
7.372329999999862,0.03643555767255009,0.15194781358433535,0.011893214090367765,-0.5030459582279022
7.373999999999862,0.03669004995300522,0.15283548583491263,0.011053146191951174,-0.5030240685938375
7.375669999999862,0.034299831250875386,-1.410337156115634,0.010190832973325133,-0.529681538353834
7.377339999999862,0.03197969102165972,-1.3682904799605713,0.009283880853292537,-0.5564838717921913
7.3790099999998615,0.029729895700885026,-1.3260914345337396,0.00833205652076185,-0.5834207651242334
7.380679999999861,0.027550687861760494,-1.2837542340491794,0.007335143800708213,-0.610481999738824
7.382349999999861,0.025442286466556028,-1.2412929412433304,0.006292943510822525,-0.6376574435065232
7.384019999999861,0.023404887120919805,-1.1987214658016798,0.005205273316126401,-0.664937051908873
7.385689999999861,0.02143866233052522,-1.1560535631396438,0.004071967581842388,-0.6923108690000308
7.387359999999861,0.019543761759473977,-1.1133028335157527,0.002892877224790075,-0.7197690282119309
7.3890299999998605,0.017720312489918635,-1.0704827214552315,0.0016678695635601426,-0.7473017530140673
7.39069999999986,0.015968419282404483,-1.027606515462168,0.00039682816769997186,-0.7748993574388631
7.392359999999861,0.01429801299379068,-0.9849441166005279,-0.0009123225989822932,-0.8023867320900354
7.394019999999861,0.012698450522587433,-0.9422520640858684,-0.0022671398720755407,-0.8299193647819252
7.395679999999861,0.011169770631206109,-0.8995429510456872,-0.003667691101459071,-0.8574880108350653
7.397339999999861,0.009711991303392864,-0.856829219536102,-0.005114028465284723,-0.8850835149438225
7.3989999999998615,0.008325109994349352,-0.8141231613525111,-0.006606189018353767,-0.9126968111875031
7.400659999999862,0.007009103879374088,-0.7714369189988142,-0.008144194840452512,-0.9403189229706993
7.402319999999862,0.005763930100776597,-0.7287824867968115,-0.009728053184536508,-0.967940962901702
7.403979999999862,0.00458952601284648,-0.686171712117939,-0.01135775662466762,-0.995554132617483
