time,theta,thetadot,x,xdot
5.360380000000104,0.03543179787682101,0.24728774145822813,0.22442411547819502,-0.7744788318463153
5.362040000000104,0.03583792348712728,0.24202363499756238,0.22314180518851304,-0.7704744318200705
5.3637000000001045,0.03623532253337273,0.23677373589389755,0.22186613999160457,-0.766472672343329
5.365360000000105,0.03662401955877191,0.23153919973829482,0.22059711476189575,-0.7624744477559632
5.367020000000105,0.03700404101512802,0.22632117046185724,0.2193347228957959,-0.7584806444672824
5.368680000000105,0.0373754152433039,0.22112078012654918,0.21807895632500313,-0.7544921407862567
5.370340000000105,0.037738172453349456,0.21593914872043105,0.21682980553008918,-0.7505098067548694
5.372000000000106,0.03809234470429282,0.21077738395730675,0.21558725955435834,-0.7465345039846096
5.373670000000105,0.038440022094831806,0.20560566499669974,0.21434388046653566,-0.7425432024625993
5.375340000000105,0.038779081406743326,0.20045625898731076,0.21310715945429656,-0.7385607371843369
5.377010000000105,0.039109560811851574,0.1953302550810874,0.21187708105099476,-0.7345879586840107
5.378680000000105,0.03943150028970358,0.19022872908064586,0.21065362837734034,-0.7306257082219489
5.380350000000105,0.03974494160512259,0.1851527432555188,0.2094367831570141,-0.7266748176324849
5.382020000000105,0.04004992828545834,0.18010334616295798,0.20822652573253325,-0.722736109175141
5.3836900000001044,0.040346505597541917,0.17508157247328787,0.2070228350813626,-0.7188103953891405
5.385360000000104,0.04063472052435272,0.1700884427998061,0.20582568883226626,-0.7148984789512554
5.387030000000104,0.040914621741405185,0.16512496353322612,0.20463506328189368,-0.711001152536999
5.388700000000104,0.04118625959286282,0.16019212668065835,0.20345093341159481,-0.7071191986851721
5.390360000000104,0.041448133011745825,0.1553202187227956,0.20228030555403342,-0.7032765253693706
5.392020000000104,0.04170194583865009,0.15048050227806245,0.20111604265268673,-0.6994505547240514
5.393680000000105,0.041947752283882304,0.14567390838706373,0.19995811636873348,-0.6956420247093202
5.395340000000105,0.04218560809112517,0.14090135346448637,0.19880649714696744,-0.6918516628938834
5.397000000000105,0.04241557051304709,0.13616373916478058,0.19766115423314268,-0.6880801863399572
5.398660000000105,0.04263769828669254,0.13146195225219132,0.1965220556915071,-0.6843283014914494
5.4003200000001055,0.042852051608660215,0.12679686447513536,0.19538916842251874,-0.6805967040654188
5.401980000000106,0.043058692110076346,0.12216933244491883,0.19426245818073973,-0.6768860789468161
5.403640000000106,0.04325768283137022,0.11758019751879077,0.1931418895929021,-0.6731971000865102
5.405300000000106,0.0434490881968592,0.11303028568732729,0.19202742617614021,-0.669530430402606
5.4069800000001065,0.04363514385449953,0.10846612773680299,0.19090571306077023,-0.6658428398075267
5.408660000000107,0.043813566912349555,0.10394379233043705,0.1897901747703739,-0.6621794271672351
5.410340000000107,0.04398442831023897,0.09946408716265215,0.18868077013828852,-0.6585408447004748
5.4120200000001075,0.044147800331011976,0.09502780337826797,0.18757745691216968,-0.6549277326708218
5.413700000000108,0.04430375657264299,0.09063571547587615,0.18648019177414923,-0.6513407192994533
