Name,Test #,Loss,Mean Absolute Error (MAE),Mean Absolute Percentange Error (MAPE) %
Linear Untrained,1,3.370986814843491e-05,0.0045382739044725895,100.0
Linear Untrained,2,2.7115318879111783e-09,3.4435743145877495e-05,99.90492248535156
Linear Untrained,3,2.0410139356386026e-08,0.00010970568837365136,99.98277282714844
Linear Untrained,4,0.12710246443748474,0.3102036118507385,100.0
Linear Untrained,5,0.26793795824050903,0.41045519709587097,100.0
Linear Untrained,6,0.32007360458374023,0.45168620347976685,100.0
Linear Untrained,7,2.3405420780181885,1.0419927835464478,100.0
Linear Untrained,8,5.487857818603516,1.7185505628585815,100.0
Linear Untrained,9,2.383300304412842,0.9281856417655945,99.90863037109375
Linear Untrained,10,8.02245044708252,2.0088372230529785,100.0
Linear Untrained,11,13.041413307189941,2.9435603618621826,100.0
Linear Untrained,12,26.708555221557617,3.689777135848999,100.0
Linear Trained,1,0.2640625834465027,0.3882315754890442,56891.08203125
Linear Trained,2,0.2598574459552765,0.3850674331188202,8684850.0
Linear Trained,3,0.2597425580024719,0.3849784731864929,2325660.25
Linear Trained,4,0.9923104047775269,0.6753410696983337,1631.3453369140625
Linear Trained,5,0.3083013892173767,0.4222005605697632,1422.79296875
Linear Trained,6,0.19319769740104675,0.30692872405052185,477.1979675292969
Linear Trained,7,1.6184251308441162,0.8521268367767334,1049.9228515625
Linear Trained,8,2.9658682346343994,1.3073598146438599,1029.6793212890625
Linear Trained,9,2.1002306938171387,0.9627740979194641,170324.84375
Linear Trained,10,3.9642250537872314,1.4856116771697998,190.72105407714844
Linear Trained,11,8.978320121765137,2.118511438369751,75.98107147216797
Linear Trained,12,20.28557014465332,2.8694517612457275,102.17928314208984
Dense Untrained,1,3.370986814843491e-05,0.004538273438811302,100.0
Dense Untrained,2,2.711532109955783e-09,3.4435743145877495e-05,99.90493774414062
Dense Untrained,3,2.0410137580029186e-08,0.00010970566654577851,99.98277282714844
Dense Untrained,4,0.12710246443748474,0.31020358204841614,100.0
Dense Untrained,5,0.26793795824050903,0.41045525670051575,100.0
Dense Untrained,6,0.32007360458374023,0.45168623328208923,100.0
Dense Untrained,7,2.3405418395996094,1.0419927835464478,100.0
Dense Untrained,8,5.487857818603516,1.7185505628585815,100.0
