,xdot <= -0.57,theta <= -1.44,thetadot > 1.28,-0.20 < x <= 0.02,thetadot <= -1.13,0.02 < x <= 0.29,theta > 1.22,xdot > 0.63,x <= -0.20,-0.57 < xdot <= 0.00,-1.44 < theta <= 0.00,0.00 < thetadot <= 1.28,0.00 < theta <= 1.22,-1.13 < thetadot <= 0.00,0.00 < xdot <= 0.63,x > 0.29,instance_index
64,,,,-0.01402180716552564,,,,,,-0.6740381093678814,,,0.0025156677154612836,0.017818132525691383,,,64
65,,,-0.004288072948019162,0.015516566713686874,,,0.001248254110509918,,,-0.6568402218550367,,,,,,,65
66,,,,,,0.024281060633010006,,,,-0.6724481912408582,-0.01467930879481168,-0.00515803636444492,,,,,66
67,,,,,-0.001547137394222251,,0.012374298202351296,0.6776184580005918,,,,,,,,-0.007949954814747685,67
68,,-0.010708918494170765,,-0.01212599028087419,,,,0.6697444113575169,,,,-0.00961722990524363,,,,,68
69,,,,0.0021930474317817432,,,0.013947699028479019,0.6507466291651083,,,,0.005209820332346459,,,,,69
70,-0.6547297481225338,,,,,0.008342477854603299,,,,,,0.007589516781113543,-0.0006322748020505775,,,,70
71,,,,-0.003939579330577746,,,,,,-0.6678367283282585,,,-0.004229841612280907,-0.0017845245208967062,,,71
72,-0.6645858149156795,,,,,,,,0.0162221828189797,,,0.009138194377189225,0.002923301155234567,,,,72
73,-0.6661686924513054,,,,,-0.002291258538795259,,,,,,0.007647222254237733,-0.0249083474272929,,,,73
74,,,,,0.01871181566199703,,-0.0015492426024129864,0.6724151817418416,,,,,,,,-0.0029980545988076515,74
75,,,,-0.02271562239039219,,,,,,-0.6524835785171643,0.015229071842765451,,,0.004720926263899651,,,75
76,-0.6636930389056568,,,,0.00580904953905396,-0.0005131802939600443,0.008719406432404922,,,,,,,,,,76
77,,,,,-0.010669472825003553,,,0.6611467590219735,,,0.00427259271279949,,,,,-0.007171070372465552,77
78,,,,,,0.0034696591601951258,,,,-0.6610684920018685,0.03672584370390145,0.021734271760418714,,,,,78
79,-0.677358573610925,,,,,0.014017707206812153,,,,,,0.0032022933107968164,0.011722046544506013,,,,79
80,,,,-0.0028446907470172436,,,,,,-0.656898802777122,,-0.016224420820132802,-0.011799998484177027,,,,80
81,-0.6714257817661211,,0.005910168495250903,,,0.0183368600010001,-0.012138745837813374,,,,,,,,,,81
82,,,,-0.008522712087492836,,,,,,,,,0.003557907185480156,0.013224975923884831,0.6482605628952044,,82
83,-0.6622222138935017,,,,-0.000939627063941856,,-0.012046421788403263,,-0.00410515727369635,,,,,,,,83
84,,,,,,,,,,-0.6594796973261904,0.005427328022361588,0.019027990996369714,,,,-0.011046613065969286,84
85,-0.678827319770208,,0.0166494648671519,,,,,,-0.014121734498470727,,0.008810960604204528,,,,,,85
86,-0.6688507190159868,,,,,,,,-0.0034400293223924667,,,-0.0027941280468761036,0.007978471364860176,,,,86
87,-0.6541579105411435,-0.029108612600669947,,0.004913692467398806,0.00922781842156959,,,,,,,,,,,,87
88,,0.017771069447270273,0.0011135087672224802,-0.009844375534493955,,,,0.6690556836385669,,,,,,,,,88
89,,,,,,0.014106784262833013,,,,-0.6589467822831407,0.0037674519698803906,-0.004218522279870065,,,,,89
90,-0.6585496827368896,-0.013884454096589359,0.00919845354710894,,,,,,-0.01679527206051121,,,,,,,,90
91,,0.011946732632620439,,0.004616521392471652,,,,0.6628407205425773,,,,,,-0.01139348993017779,,,91
92,,,0.014730396087051309,0.003552547365192608,,,-0.010883416151164962,,,,,,,,0.6458323577919922,,92
93,,,-0.0027078040436205914,-0.022519748937308494,,,-0.0013705661442556423,,,,,,,,0.6614846315917334,,93
94,-0.6584226155064276,-0.00973158324320544,,,,,,,0.014740898321488814,,,,,0.0077542340423819465,,,94
95,,,0.0007839985321875782,,,0.01515403879428856,0.009271497739466754,0.6604280643532126,,,,,,,,,95
96,,,,,,-0.0004183512332733366,,,,-0.6682658085893927,,-7.761500490099729e-05,-0.00896387362932189,,,,96
97,,-0.0022757914344639914,,,0.00737569399852439,-0.00709963730833671,,0.6602632763981253,,,,,,,,,97
98,,,,0.007971028130406885,,,,,,,,,0.02807950621383496,0.0188246561916136,0.6600576860381088,,98
99,,,,0.004504336480609213,,,,,,-0.6497938121790426,,,-0.009376191497905877,-0.0031406893956191077,,,99
